index,Year,Gender,Race,Director(s),Film,Nomination/Winner
270,1983,Male,White,James L. Brooks,Terms of Endearment,Winner
271,1983,Male,White,Bruce Beresford,Tender Mercies,Nomination
272,1983,Male,White,Ingmar Bergman,Fanny and Alexander,Nomination
273,1983,Male,White,Mike Nichols,Silkwood,Nomination
274,1983,Male,White,Peter Yates,The Dresser,Nomination
275,1984,Male,White,Miloš Forman,Amadeus,Winner
276,1984,Male,White,Woody Allen,Broadway Danny Rose,Nomination
277,1984,Male,White,Robert Benton,Places in the Heart,Nomination
278,1984,Male,White,Roland Joffé,The Killing Fields,Nomination
279,1984,Male,White,David Lean,A Passage to India,Nomination
280,1985,Male,White,Sydney Pollack,Out of Africa,Winner
281,1985,Male,White,Héctor Babenco,Kiss of the Spider Woman,Nomination
282,1985,Male,White,John Huston,Prizzi's Honor,Nomination
283,1985,Male,White,Akira Kurosawa,Ran,Nomination
284,1985,Male,White,Peter Weir,Witness,Nomination
285,1986,Male,White,Oliver Stone,Platoon,Winner
286,1986,Male,White,Woody Allen,Hannah and Her Sisters,Nomination
287,1986,Male,White,James Ivory,A Room with a View,Nomination
288,1986,Male,White,Roland Joffé,The Mission,Nomination
289,1986,Male,White,David Lynch,Blue Velvet,Nomination
290,1987,Male,White,Bernardo Bertolucci,The Last Emperor,Winner
291,1987,Male,White,John Boorman,Hope and Glory,Nomination
292,1987,Male,White,Lasse Hallström,My Life as a Dog,Nomination
293,1987,Male,White,Norman Jewison,Moonstruck,Nomination
294,1987,Male,White,Adrian Lyne,Fatal Attraction,Nomination
295,1988,Male,White,Barry Levinson,Rain Man,Winner
296,1988,Male,White,Charles Crichton,A Fish Called Wanda,Nomination
297,1988,Male,White,Mike Nichols,Working Girl,Nomination
298,1988,Male,White,Alan Parker,Mississippi Burning,Nomination
299,1988,Male,White,Martin Scorsese,The Last Temptation of Christ,Nomination
300,1989,Male,White,Oliver Stone,Born on the Fourth of July,Winner
301,1989,Male,White,Woody Allen,Crimes and Misdemeanors,Nomination
302,1989,Male,White,Kenneth Branagh,Henry V,Nomination
303,1989,Male,White,Jim Sheridan,My Left Foot,Nomination
304,1989,Male,White,Peter Weir,Dead Poets Society,Nomination
305,1990,Male,White,Kevin Costner,Dances with Wolves,Winner
306,1990,Male,White,Francis Ford Coppola,The Godfather Part III,Nomination
307,1990,Male,White,Stephen Frears,The Grifters,Nomination
308,1990,Male,White,Barbet Schroeder,Reversal of Fortune,Nomination
309,1990,Male,White,Martin Scorsese,Goodfellas,Nomination
310,1991,Male,White,Jonathan Demme,The Silence of the Lambs,Winner
311,1991,Male,White,Barry Levinson,Bugsy,Nomination
312,1991,Male,White,Ridley Scott,Thelma & Louise,Nomination
313,1991,Male,Black,John Singleton,Boyz n the Hood,Nomination
314,1991,Male,White,Oliver Stone,JFK,Nomination
315,1992,Male,White,Clint Eastwood,Unforgiven,Winner
316,1992,Male,White,Robert Altman,The Player,Nomination
317,1992,Male,White,Martin Brest,Scent of a Woman,Nomination
318,1992,Male,White,James Ivory,Howards End,Nomination
319,1992,Male,White,Neil Jordan,The Crying Game,Nomination
320,1993,Male,White,Steven Spielberg,Schindler's List,Winner
321,1993,Male,White,Robert Altman,Short Cuts,Nomination
322,1993,Female,White,Jane Campion,The Piano,Nomination
323,1993,Male,White,James Ivory,The Remains of the Day,Nomination
324,1993,Male,White,Jim Sheridan,In the Name of the Father,Nomination
